observation_date,NGDPSAXDCAUQ
1959-07-01,3972
1959-10-01,4088
1960-01-01,4166
1960-04-01,4378
1960-07-01,4400
1960-10-01,4428
1961-01-01,4421
1961-04-01,4322
1961-07-01,4331
1961-10-01,4367
1962-01-01,4498
1962-04-01,4594
1962-07-01,4651
1962-10-01,4782
1963-01-01,4925
1963-04-01,4890
1963-07-01,5150
1963-10-01,5257
1964-01-01,5319
1964-04-01,5501
1964-07-01,5586
1964-10-01,5765
1965-01-01,5851
1965-04-01,5965
1965-07-01,5986
1965-10-01,6057
1966-01-01,6092
1966-04-01,6250
1966-07-01,6537
1966-10-01,6701
1967-01-01,6938
1967-04-01,6988
1967-07-01,7094
1967-10-01,7235
1968-01-01,7345
1968-04-01,7532
1968-07-01,7756
1968-10-01,8169
1969-01-01,8283
1969-04-01,8545
1969-07-01,8858
1969-10-01,9074
1970-01-01,9298
1970-04-01,9656
1970-07-01,9719
1970-10-01,9880
1971-01-01,10261
1971-04-01,10493
1971-07-01,10902
1971-10-01,10918
1972-01-01,11118
1972-04-01,11542
1972-07-01,11702
1972-10-01,12091
1973-01-01,12696
1973-04-01,13293
1973-07-01,14037
1973-10-01,14970
1974-01-01,15498
1974-04-01,15768
1974-07-01,16753
1974-10-01,17647
1975-01-01,17999
1975-04-01,18830
1975-07-01,19402
1975-10-01,20338
1976-01-01,21303
1976-04-01,22240
1976-07-01,23016
1976-10-01,23750
1977-01-01,24279
1977-04-01,25103
1977-07-01,25442
1977-10-01,25730
1978-01-01,26577
1978-04-01,27372
1978-07-01,28290
1978-10-01,29035
1979-01-01,30491
1979-04-01,30960
1979-07-01,32032
1979-10-01,33310
1980-01-01,34220
1980-04-01,34990
1980-07-01,36148
1980-10-01,37805
1981-01-01,38555
1981-04-01,39988
1981-07-01,42160
1981-10-01,43357
1982-01-01,44286
1982-04-01,45974
1982-07-01,46558
1982-10-01,47284
1983-01-01,47696
1983-04-01,48207
1983-07-01,50999
1983-10-01,52410
1984-01-01,54572
1984-04-01,55819
1984-07-01,56487
1984-10-01,57421
1985-01-01,59623
1985-04-01,61954
1985-07-01,63394
1985-10-01,64626
1986-01-01,65847
1986-04-01,67029
1986-07-01,68264
1986-10-01,70549
1987-01-01,72336
1987-04-01,75066
1987-07-01,77467
1987-10-01,79790
1988-01-01,82675
1988-04-01,84725
1988-07-01,87739
1988-10-01,90598
1989-01-01,93227
1989-04-01,96843
1989-07-01,98717
1989-10-01,100454
1990-01-01,102270
1990-04-01,104207
1990-07-01,103611
1990-10-01,104850
1991-01-01,103441
1991-04-01,103499
1991-07-01,104266
1991-10-01,105234
1992-01-01,106759
1992-04-01,107165
1992-07-01,108192
1992-10-01,110383
1993-01-01,112266
1993-04-01,113413
1993-07-01,113255
1993-10-01,115645
1994-01-01,118001
1994-04-01,119521
1994-07-01,123044
1994-10-01,122406
1995-01-01,124575
1995-04-01,126278
1995-07-01,128990
1995-10-01,131592
1996-01-01,133194
1996-04-01,135308
1996-07-01,135966
1996-10-01,137931
1997-01-01,139213
1997-04-01,142744
1997-07-01,143640
1997-10-01,147478
1998-01-01,148576
1998-04-01,149789
1998-07-01,152428
1998-10-01,155341
1999-01-01,156801
1999-04-01,157667
1999-07-01,160524
1999-10-01,163392
2000-01-01,168316
2000-04-01,170526
2000-07-01,174723
2000-10-01,173864
2001-01-01,178737
2001-04-01,180578
2001-07-01,184344
2001-10-01,186830
2002-01-01,190977
2002-04-01,194274
2002-07-01,196939
2002-10-01,200182
2003-01-01,202397
2003-04-01,204367
2003-07-01,209088
2003-10-01,214334
2004-01-01,218487
2004-04-01,221903
2004-07-01,225004
2004-10-01,228931
2005-01-01,233246
2005-04-01,238178
2005-07-01,243697
2005-10-01,249088
2006-01-01,252022
2006-04-01,255328
2006-07-01,262803
2006-10-01,269797
2007-01-01,276632
2007-04-01,280712
2007-07-01,285153
2007-10-01,290509
2008-01-01,298149
2008-04-01,305836
2008-07-01,315463
2008-10-01,315913
2009-01-01,317331
2009-04-01,312767
2009-07-01,313783
2009-10-01,320904
2010-01-01,328418
2010-04-01,340020
2010-07-01,344957
2010-10-01,351072
2011-01-01,356842
2011-04-01,365838
2011-07-01,372327
2011-10-01,373207
2012-01-01,374227
2012-04-01,379478
2012-07-01,380340
2012-10-01,381834
2013-01-01,385589
2013-04-01,389853
2013-07-01,393956
2013-10-01,400060
2014-01-01,403254
2014-04-01,402751
2014-07-01,402725
2014-10-01,405269
2015-01-01,408232
2015-04-01,407281
2015-07-01,411885
2015-10-01,412118
2016-01-01,414494
2016-04-01,419266
2016-07-01,424715
2016-10-01,438897
2017-01-01,446713
2017-04-01,446706
2017-07-01,452601
2017-10-01,455183
2018-01-01,463997
2018-04-01,470250
2018-07-01,477632
2018-10-01,482380
2019-01-01,489544
2019-04-01,497139
2019-07-01,503900
2019-10-01,502848
2020-01-01,504765
2020-04-01,468676
2020-07-01,488769
2020-10-01,511430
2021-01-01,532781
2021-04-01,551947
2021-07-01,549902
2021-10-01,567956
2022-01-01,593084
2022-04-01,621645
2022-07-01,630020
2022-10-01,638306
2023-01-01,650175
2023-04-01,647971
2023-07-01,656822
2023-10-01,665765
2024-01-01,674490
2024-04-01,676483
2024-07-01,679674
2024-10-01,690122
2025-01-01,699617
