observation_date,NGDPRSAXDCAUQ
1959-07-01,78679
1959-10-01,79412
1960-01-01,79810
1960-04-01,81999
1960-07-01,82177
1960-10-01,82020
1961-01-01,82274
1961-04-01,81371
1961-07-01,80780
1961-10-01,81708
1962-01-01,83993
1962-04-01,85605
1962-07-01,86291
1962-10-01,87844
1963-01-01,89878
1963-04-01,88715
1963-07-01,92355
1963-10-01,94327
1964-01-01,94168
1964-04-01,96499
1964-07-01,97093
1964-10-01,99851
1965-01-01,100696
1965-04-01,102276
1965-07-01,101969
1965-10-01,102220
1966-01-01,101924
1966-04-01,103316
1966-07-01,106235
1966-10-01,106934
1967-01-01,111116
1967-04-01,110959
1967-07-01,113040
1967-10-01,114020
1968-01-01,113001
1968-04-01,117352
1968-07-01,118899
1968-10-01,123337
1969-01-01,122488
1969-04-01,124915
1969-07-01,126980
1969-10-01,129914
1970-01-01,132600
1970-04-01,135281
1970-07-01,134997
1970-10-01,135629
1971-01-01,137274
1971-04-01,137869
1971-07-01,142180
1971-10-01,141731
1972-01-01,140039
1972-04-01,143159
1972-07-01,142435
1972-10-01,143927
1973-01-01,147662
1973-04-01,147942
1973-07-01,149420
1973-10-01,153157
1974-01-01,153200
1974-04-01,150090
1974-07-01,151870
1974-10-01,152031
1975-01-01,152613
1975-04-01,157446
1975-07-01,155699
1975-10-01,153357
1976-01-01,160162
1976-04-01,160635
1976-07-01,161939
1976-10-01,163343
1977-01-01,162457
1977-04-01,164758
1977-07-01,164047
1977-10-01,163543
1978-01-01,164677
1978-04-01,166060
1978-07-01,168586
1978-10-01,169957
1979-01-01,174629
1979-04-01,171820
1979-07-01,173418
1979-10-01,176756
1980-01-01,177588
1980-04-01,178025
1980-07-01,178985
1980-10-01,182056
1981-01-01,182737
1981-04-01,185581
1981-07-01,189325
1981-10-01,188546
1982-01-01,187041
1982-04-01,188701
1982-07-01,187456
1982-10-01,184440
1983-01-01,182664
1983-04-01,182290
1983-07-01,187400
1983-10-01,190565
1984-01-01,195227
1984-04-01,197508
1984-07-01,199326
1984-10-01,200529
1985-01-01,203488
1985-04-01,208037
1985-07-01,210704
1985-10-01,210114
1986-01-01,211563
1986-04-01,211180
1986-07-01,211736
1986-10-01,215228
1987-01-01,217362
1987-04-01,220828
1987-07-01,224806
1987-10-01,229354
1988-01-01,230290
1988-04-01,230518
1988-07-01,232362
1988-10-01,236148
1989-01-01,238353
1989-04-01,243544
1989-07-01,245578
1989-10-01,244900
1990-01-01,246793
1990-04-01,247137
1990-07-01,245808
1990-10-01,247163
1991-01-01,244057
1991-04-01,243617
1991-07-01,244685
1991-10-01,244851
1992-01-01,246757
1992-04-01,248551
1992-07-01,251001
1992-10-01,256223
1993-01-01,257994
1993-04-01,259481
1993-07-01,259814
1993-10-01,264555
1994-01-01,268955
1994-04-01,272163
1994-07-01,274227
1994-10-01,277283
1995-01-01,277045
1995-04-01,278335
1995-07-01,284772
1995-10-01,284722
1996-01-01,289162
1996-04-01,291003
1996-07-01,293303
1996-10-01,296092
1997-01-01,298156
1997-04-01,307097
1997-07-01,307524
1997-10-01,311905
1998-01-01,313855
1998-04-01,317073
1998-07-01,322971
1998-10-01,327989
1999-01-01,330452
1999-04-01,331809
1999-07-01,335375
1999-10-01,341129
2000-01-01,342430
2000-04-01,345785
2000-07-01,346667
2000-10-01,345369
2001-01-01,348598
2001-04-01,351723
2001-07-01,355814
2001-10-01,360013
2002-01-01,362852
2002-04-01,369088
2002-07-01,369994
2002-10-01,373112
2003-01-01,373945
2003-04-01,375463
2003-07-01,381825
2003-10-01,388294
2004-01-01,391259
2004-04-01,394183
2004-07-01,396780
2004-10-01,399807
2005-01-01,403103
2005-04-01,404935
2005-07-01,409254
2005-10-01,412661
2006-01-01,412927
2006-04-01,413996
2006-07-01,420227
2006-10-01,425509
2007-01-01,431277
2007-04-01,434043
2007-07-01,439202
2007-10-01,440720
2008-01-01,445509
2008-04-01,446988
2008-07-01,449968
2008-10-01,448054
2009-01-01,452490
2009-04-01,455451
2009-07-01,457040
2009-10-01,460714
2010-01-01,462727
2010-04-01,465573
2010-07-01,468880
2010-10-01,472679
2011-01-01,471674
2011-04-01,477257
2011-07-01,483892
2011-10-01,489124
2012-01-01,494027
2012-04-01,497493
2012-07-01,500614
2012-10-01,502634
2013-01-01,505259
2013-04-01,507150
2013-07-01,511282
2013-10-01,515343
2014-01-01,519355
2014-04-01,521989
2014-07-01,524092
2014-10-01,526092
2015-01-01,531220
2015-04-01,531857
2015-07-01,537014
2015-10-01,540382
2016-01-01,545315
2016-04-01,548862
2016-07-01,548814
2016-10-01,555152
2017-01-01,556828
2017-04-01,560283
2017-07-01,565488
2017-10-01,567859
2018-01-01,573671
2018-04-01,577992
2018-07-01,580152
2018-10-01,581457
2019-01-01,585583
2019-04-01,587437
2019-07-01,590801
2019-10-01,594225
2020-01-01,593309
2020-04-01,553502
2020-07-01,572894
2020-10-01,592265
2021-01-01,605368
2021-04-01,610538
2021-07-01,600220
2021-10-01,621145
2022-01-01,627035
2022-04-01,633680
2022-07-01,636640
2022-10-01,640720
2023-01-01,643675
2023-04-01,646478
2023-07-01,649753
2023-10-01,650288
2024-01-01,651115
2024-04-01,652609
2024-07-01,654696
2024-10-01,658429
2025-01-01,659819
