observation_date,GGNLBAAUA188N
1988-01-01,0.477
1989-01-01,0.925
1990-01-01,-0.232
1991-01-01,-2.788
1992-01-01,-4.745
1993-01-01,-4.727
1994-01-01,-3.793
1995-01-01,-2.603
1996-01-01,-1.456
1997-01-01,-0.493
1998-01-01,-0.246
1999-01-01,0.666
2000-01-01,1.250
2001-01-01,-0.030
2002-01-01,0.193
2003-01-01,1.051
2004-01-01,1.323
2005-01-01,1.707
2006-01-01,1.771
2007-01-01,1.474
2008-01-01,-1.101
2009-01-01,-4.563
2010-01-01,-5.116
2011-01-01,-4.526
2012-01-01,-3.509
2013-01-01,-2.810
2014-01-01,-2.918
2015-01-01,-2.786
2016-01-01,-2.424
2017-01-01,-1.718
2018-01-01,-1.259
2019-01-01,-4.410
2020-01-01,-8.733
2021-01-01,-6.363
2022-01-01,-2.185
2023-01-01,-0.922
2024-01-01,-2.156
