observation_date,GGGDTAAUA188N
1989-01-01,17.016
1990-01-01,16.407
1991-01-01,21.607
1992-01-01,27.632
1993-01-01,30.665
1994-01-01,31.709
1995-01-01,31.143
1996-01-01,29.345
1997-01-01,25.907
1998-01-01,23.698
1999-01-01,22.544
2000-01-01,19.495
2001-01-01,17.106
2002-01-01,15.010
2003-01-01,13.186
2004-01-01,11.907
2005-01-01,10.858
2006-01-01,9.938
2007-01-01,9.665
2008-01-01,11.742
2009-01-01,16.622
2010-01-01,20.350
2011-01-01,24.040
2012-01-01,27.521
2013-01-01,30.466
2014-01-01,34.036
2015-01-01,37.726
2016-01-01,40.621
2017-01-01,41.195
2018-01-01,41.758
2019-01-01,46.720
2020-01-01,57.092
2021-01-01,55.537
2022-01-01,50.222
2023-01-01,48.973
2024-01-01,49.828
