observation_date,NMRXDCAUA
1960-01-01,20533
1961-01-01,18476
1962-01-01,19904
1963-01-01,21714
1964-01-01,25979
1965-01-01,29418
1966-01-01,27348
1967-01-01,30190
1968-01-01,33528
1969-01-01,34300
1970-01-01,36452
1971-01-01,36201
1972-01-01,32258
1973-01-01,39398
1974-01-01,49250
1975-01-01,41591
1976-01-01,46507
1977-01-01,46157
1978-01-01,47924
1979-01-01,49127
1980-01-01,51612
1981-01-01,56759
1982-01-01,59833
1983-01-01,53913
1984-01-01,65856
1985-01-01,68163
1986-01-01,66022
1987-01-01,67685
1988-01-01,79587
1989-01-01,96289
1990-01-01,92448
1991-01-01,90241
1992-01-01,96417
1993-01-01,101351
1994-01-01,115990
1995-01-01,125815
1996-01-01,135998
1997-01-01,150309
1998-01-01,161148
1999-01-01,174698
2000-01-01,188064
2001-01-01,179357
2002-01-01,199326
2003-01-01,221266
2004-01-01,255668
2005-01-01,279337
2006-01-01,303892
2007-01-01,343914
2008-01-01,379882
2009-01-01,346618
2010-01-01,403083
2011-01-01,444158
2012-01-01,472146
2013-01-01,461569
2014-01-01,455536
2015-01-01,465878
2016-01-01,469344
2017-01-01,507932
2018-01-01,532538
2019-01-01,526310
2020-01-01,462665
2021-01-01,488161
2022-01-01,555132
2023-01-01,592599
2024-01-01,626100
