"Country","Code","ContinentCode","Year","Month","GDP_ts","CPI_ts","GDP_outlier","CPI_outlier"
"Australia","AUS","OC",1996,3,128.02,66.2,FALSE,FALSE
"Australia","AUS","OC",1996,6,133.65,66.7,FALSE,FALSE
"Australia","AUS","OC",1996,9,135.15,66.9,FALSE,FALSE
"Australia","AUS","OC",1996,12,145.94,67,FALSE,FALSE
"Australia","AUS","OC",1997,3,133.57,67.1,FALSE,FALSE
"Australia","AUS","OC",1997,6,141.59,66.9,FALSE,FALSE
"Australia","AUS","OC",1997,9,143.27,66.6,FALSE,FALSE
"Australia","AUS","OC",1997,12,154.64,66.8,FALSE,FALSE
"Australia","AUS","OC",1998,3,142.38,67,FALSE,FALSE
"Australia","AUS","OC",1998,6,148.55,67.4,FALSE,FALSE
"Australia","AUS","OC",1998,9,151.42,67.5,FALSE,FALSE
"Australia","AUS","OC",1998,12,162.32,67.8,FALSE,FALSE
"Australia","AUS","OC",1999,3,150.98,67.8,FALSE,FALSE
"Australia","AUS","OC",1999,6,156.21,68.1,FALSE,FALSE
"Australia","AUS","OC",1999,9,159.63,68.7,FALSE,FALSE
"Australia","AUS","OC",1999,12,170.52,69.1,FALSE,FALSE
"Australia","AUS","OC",2000,3,162.85,69.7,FALSE,FALSE
"Australia","AUS","OC",2000,6,168.72,70.2,FALSE,FALSE
"Australia","AUS","OC",2000,9,173.63,72.9,FALSE,FALSE
"Australia","AUS","OC",2000,12,181.45,73.1,FALSE,FALSE
"Australia","AUS","OC",2001,3,172.96,73.9,FALSE,FALSE
"Australia","AUS","OC",2001,6,178.34,74.5,FALSE,FALSE
"Australia","AUS","OC",2001,9,182.8,74.7,FALSE,FALSE
"Australia","AUS","OC",2001,12,195.84,75.4,FALSE,FALSE
"Australia","AUS","OC",2002,3,184.44,76.1,FALSE,FALSE
"Australia","AUS","OC",2002,6,192.51,76.6,FALSE,FALSE
"Australia","AUS","OC",2002,9,196.4,77.1,FALSE,FALSE
"Australia","AUS","OC",2002,12,208.91,77.6,FALSE,FALSE
